name,logfc,adjpval,avgexp,color,location,hovinfo,pointsize,opaq
rtcA,0.653998911660759,0.252649279865724,5.33970794036003,black,0,none,1.18438153291868,0.4
iscX,0.53761846176167,0.227897374383191,5.8239147500916,black,0,none,1.42589411603221,0.4
ymfD,0.61231464449116,0.286969149079005,4.62654337714356,black,0,none,0.904932753902071,0.4
yiaR,1.04046072091859,0.345768705627489,3.07816422820734,black,0,none,0.51409769981715,0.4
yeaJ,0.616173354927583,0.254272236118348,5.32317150160067,black,0,none,1.17694600154088,0.4
sapF,-0.725693249625389,0.269100787792024,5.27289381697372,black,0,none,1.15464342841591,0.4
insH1,-0.300598606637333,0.094551029569612,10.7914217192136,black,0,none,5,0.4
cysB,0.489904640694523,0.163982583789831,7.33274692473104,black,0,none,2.57751859683743,0.4
mrdA,-0.544716717536363,0.226493575454241,6.21014124769725,black,0,none,1.65600743905495,0.4
lldD,-0.668637257483129,0.223220174152233,6.30168351774763,black,0,none,1.71612769125232,0.4
mltF,0.61143703468943,0.2752094326182,4.91510990201707,black,0,none,1.00841105620048,0.4
rsmD,-0.64939667583011,0.282985146005216,4.85078391492918,black,0,none,0.984291160561735,0.4
yedS,-0.909037322366815,0.283196673260485,4.86554665852269,black,0,none,0.98977143662272,0.4
mokC,0.870534279644329,0.372580850012539,1.83629570956862,black,0,none,0.333602545856695,0.4
yphE,-0.74927086988748,0.332280128525126,3.1850885663886,black,0,none,0.534093181886331,0.4
aes,-0.927076933587981,0.311069947429347,3.81696959152092,black,0,none,0.671044153899941,0.4
yfaS,-0.637922107199394,0.292963528894266,4.59938485218527,black,0,none,0.895798221691584,0.4
aroL,0.530020652154039,0.205995002054397,6.39069727656538,black,0,none,1.7768086530237,0.4
rem,0.819417526951092,0.34512926594977,3.34865262002737,black,0,none,0.566346914068669,0.4
ydaY,1.06699960041968,0.373497544313259,2.27153482824901,black,0,none,0.387296570370431,0.4
ypdE,0.916441682269469,0.366243908332603,2.75357546485637,black,0,none,0.458263704836878,0.4
sfmH,0.638267144494066,0.377940824497312,1.95912330859632,black,0,none,0.347860400101623,0.4
stfP,0.638267144494066,0.377940824497312,1.95912330859632,black,0,none,0.347860400101623,0.4
yjiV,-0.63835722615906,0.258989063419266,5.68145833601926,black,0,none,1.34981558189107,0.4
stfR,-0.654005408886417,0.264735677470742,5.54654342953917,black,0,none,1.28173872022013,0.4
ycfH,-0.561417674239785,0.205908462702788,6.81612235096134,black,0,none,2.09984876210319,0.4
yejK,-0.587993140409879,0.206707163919222,6.79687689161443,black,0,none,2.08396881683729,0.4
hybF,0.75141913060404,0.37531716442237,2.42701579560592,black,0,none,0.408759972918699,0.4
yfeN,0.633847781182762,0.287817625246173,4.83603048074879,black,0,none,0.978846837908785,0.4
elfD,0.640002430331656,0.381250730999714,1.95912330859632,black,0,none,0.347860400101623,0.4
ycjP,0.640002430331656,0.381250730999714,1.95912330859632,black,0,none,0.347860400101623,0.4
yfbN,0.640002430331656,0.381250730999714,1.95912330859632,black,0,none,0.347860400101623,0.4
yqfE,0.640002430331656,0.381250730999714,1.95912330859632,black,0,none,0.347860400101623,0.4
dgoA,0.640002430331656,0.381250730999714,1.95912330859632,black,0,none,0.347860400101623,0.4
yigG,0.640002430331656,0.381250730999714,1.95912330859632,black,0,none,0.347860400101623,0.4
cysD,0.61969410402266,0.154996562594776,7.73404551495768,black,0,none,3.02700914496922,0.4
greA,-0.583840398409662,0.223025956934969,6.46315282768212,black,0,none,1.8278783824537,0.4
